semana,llamadas,t,Segmento_normal_changepoint,Segmento_np
2020 W02,329,158,segmento3,segmento3
2020 W03,425,159,segmento3,segmento3
2020 W04,295,160,segmento3,segmento3
2020 W05,347,161,segmento3,segmento3
2020 W06,447,162,segmento3,segmento3
2020 W07,391,163,segmento3,segmento3
2020 W08,390,164,segmento3,segmento3
2020 W09,424,165,segmento3,segmento3
2020 W10,445,166,segmento3,segmento3
2020 W11,470,167,segmento3,segmento3
2020 W12,458,168,segmento3,segmento3
2020 W13,484,169,segmento3,segmento3
2020 W14,360,170,segmento3,segmento3
2020 W15,421,171,segmento3,segmento3
2020 W16,349,172,segmento3,segmento3
2020 W17,427,173,segmento3,segmento3
2020 W18,350,174,segmento3,segmento3
2020 W19,330,175,segmento3,segmento3
2020 W20,375,176,segmento3,segmento3
2020 W21,419,177,segmento3,segmento3
2020 W22,379,178,segmento3,segmento3
2020 W23,538,179,segmento3,segmento3
2020 W24,518,180,segmento4,segmento3
2020 W25,557,181,segmento4,segmento3
2020 W26,527,182,segmento4,segmento3
2020 W27,531,183,segmento4,segmento3
2020 W28,520,184,segmento4,segmento3
2020 W29,479,185,segmento4,segmento3
2020 W30,408,186,segmento4,segmento3
2020 W31,361,187,segmento4,segmento3
2020 W32,440,188,segmento4,segmento3
2020 W33,447,189,segmento4,segmento3
2020 W34,471,190,segmento4,segmento3
2020 W35,481,191,segmento4,segmento3
2020 W36,484,192,segmento4,segmento3
2020 W37,405,193,segmento4,segmento3
2020 W38,450,194,segmento4,segmento3
2020 W39,512,195,segmento4,segmento3
2020 W40,469,196,segmento4,segmento3
2020 W41,464,197,segmento4,segmento3
2020 W42,522,198,segmento4,segmento3
2020 W43,519,199,segmento4,segmento3
2020 W44,346,200,segmento5,segmento3
2020 W45,418,201,segmento5,segmento3
2020 W46,428,202,segmento5,segmento3
2020 W47,375,203,segmento5,segmento3
2020 W48,441,204,segmento5,segmento3
2020 W49,262,205,segmento5,segmento3
2020 W50,382,206,segmento5,segmento3
2020 W51,391,207,segmento5,segmento3
2020 W52,487,208,segmento5,segmento3
2020 W53,439,209,segmento5,segmento3
2021 W01,293,210,segmento5,segmento3
2021 W02,312,211,segmento5,segmento3
2021 W03,395,212,segmento5,segmento3
2021 W04,437,213,segmento5,segmento3
2021 W05,443,214,segmento5,segmento3
2021 W06,320,215,segmento5,segmento3
2021 W07,337,216,segmento5,segmento3
2021 W08,518,217,segmento5,segmento3
2021 W09,446,218,segmento5,segmento3
2021 W10,483,219,segmento5,segmento3
2021 W11,482,220,segmento5,segmento3
2021 W12,509,221,segmento5,segmento3
2021 W13,446,222,segmento5,segmento3
2021 W14,529,223,segmento5,segmento3
2021 W15,466,224,segmento5,segmento3
2021 W16,471,225,segmento5,segmento3
2021 W17,565,226,segmento5,segmento3
2021 W18,586,227,segmento5,segmento3
2021 W19,511,228,segmento5,segmento4
2021 W20,579,229,segmento5,segmento4
2021 W21,549,230,segmento5,segmento4
2021 W22,394,231,segmento5,segmento4
2021 W23,719,232,segmento5,segmento4
2021 W24,531,233,segmento5,segmento4
2021 W25,597,234,segmento5,segmento4
2021 W26,520,235,segmento5,segmento4
2021 W27,480,236,segmento6,segmento5
2021 W28,548,237,segmento6,segmento5
2021 W29,546,238,segmento6,segmento5
2021 W30,503,239,segmento6,segmento5
2021 W31,535,240,segmento6,segmento5
2021 W32,495,241,segmento6,segmento5
2021 W33,579,242,segmento6,segmento5
2021 W34,527,243,segmento6,segmento5
2021 W35,513,244,segmento6,segmento5
2021 W36,567,245,segmento6,segmento5
2021 W37,583,246,segmento6,segmento5
2021 W38,528,247,segmento6,segmento5
2021 W39,510,248,segmento6,segmento5
2021 W40,499,249,segmento6,segmento5
2021 W41,514,250,segmento6,segmento5
2021 W42,520,251,segmento6,segmento5
2021 W43,478,252,segmento6,segmento5
2021 W44,397,253,segmento6,segmento6
2021 W45,401,254,segmento6,segmento6
2021 W46,464,255,segmento6,segmento6
2021 W47,384,256,segmento6,segmento6
2021 W48,473,257,segmento6,segmento6
2021 W49,461,258,segmento6,segmento6
2021 W50,434,259,segmento6,segmento6
2021 W51,507,260,segmento7,segmento6
2021 W52,624,261,segmento7,segmento6
2022 W01,345,262,segmento7,segmento6
2022 W02,334,263,segmento7,segmento6
2022 W03,311,264,segmento7,segmento6
2022 W04,275,265,segmento7,segmento6
2022 W05,325,266,segmento7,segmento6
2022 W06,355,267,segmento7,segmento6
2022 W07,407,268,segmento7,segmento6
2022 W08,404,269,segmento7,segmento6
2022 W09,527,270,segmento7,segmento6
2022 W10,402,271,segmento7,segmento6
2022 W11,486,272,segmento7,segmento6
2022 W12,461,273,segmento7,segmento6
2022 W13,488,274,segmento7,segmento6
2022 W14,516,275,segmento7,segmento6
